--  Iteration   FunEvals     Step Length    Function Val        Opt Cond
--          1          5     2.66608e-02     2.00342e+02     1.39597e+04
--          2          6     1.00000e+00     1.36883e+02     6.87792e+03
--          3          7     1.00000e+00     1.07848e+02     3.45051e+03
--          4          8     1.00000e+00     9.27907e+01     1.69724e+03
--          5          9     1.00000e+00     8.26881e+01     7.38269e+02
--          6         10     1.00000e+00     7.16345e+01     2.52928e+02
--          7         11     1.00000e+00     5.48067e+01     3.46354e+02
--          8         12     1.00000e+00     3.85208e+01     2.92888e+02
--          9         13     1.00000e+00     3.02073e+01     1.84733e+02
--         10         14     1.00000e+00     2.87720e+01     7.74769e+01
--         11         15     1.00000e+00     2.77698e+01     5.73485e+01
--         12         17     3.74371e-01     2.73278e+01     6.38416e+01
--         13         18     1.00000e+00     2.68523e+01     2.98328e+01
--         14         19     1.00000e+00     2.65834e+01     2.56310e+01
--         15         20     1.00000e+00     2.63762e+01     2.43474e+01
--         16         21     1.00000e+00     2.62676e+01     1.37506e+01
--         17         22     1.00000e+00     2.61755e+01     1.74503e+01
--         18         23     1.00000e+00     2.61396e+01     3.47063e+01
--         19         24     1.00000e+00     2.60542e+01     1.84017e+01
--         20         25     1.00000e+00     2.59964e+01     1.63233e+01
--         21         26     1.00000e+00     2.59373e+01     1.77330e+01
--         22         27     1.00000e+00     2.58883e+01     2.87693e+01
--         23         28     1.00000e+00     2.58090e+01     1.72376e+01
--         24         29     1.00000e+00     2.57034e+01     1.91151e+01
--         25         30     1.00000e+00     2.56401e+01     1.87037e+01
--         26         31     1.00000e+00     2.55995e+01     3.19248e+01
--         27         32     1.00000e+00     2.55149e+01     2.01951e+01
--         28         33     1.00000e+00     2.54602e+01     2.02237e+01
--         29         34     1.00000e+00     2.53847e+01     2.31061e+01
--         30         35     1.00000e+00     2.53318e+01     3.67692e+01
--         31         36     1.00000e+00     2.52382e+01     1.66264e+01
--         32         37     1.00000e+00     2.51944e+01     1.76177e+01
--         33         38     1.00000e+00     2.51131e+01     2.59829e+01
--         34         39     1.00000e+00     2.50314e+01     3.68675e+01
--         35         40     1.00000e+00     2.49750e+01     3.38708e+01
--         36         41     1.00000e+00     2.49229e+01     2.83902e+01
--         37         42     1.00000e+00     2.48716e+01     2.18876e+01
--         38         43     1.00000e+00     2.47946e+01     3.02059e+01
--         39         44     1.00000e+00     2.46949e+01     4.13799e+01
--         40         45     1.00000e+00     2.45859e+01     3.85629e+01
--         41         46     1.00000e+00     2.44679e+01     3.82289e+01
--         42         47     1.00000e+00     2.43773e+01     3.16968e+01
--         43         48     1.00000e+00     2.42859e+01     3.94258e+01
--         44         49     1.00000e+00     2.41552e+01     4.48583e+01
--         45         50     1.00000e+00     2.40058e+01     3.39154e+01
--         46         51     1.00000e+00     2.38126e+01     3.59069e+01
--         47         52     1.00000e+00     2.36675e+01     3.44073e+01
--         48         53     1.00000e+00     2.34773e+01     2.88565e+01
--         49         54     1.00000e+00     2.32794e+01     6.98852e+01
--         50         55     1.00000e+00     2.30314e+01     3.71469e+01
--         51         56     1.00000e+00     2.28663e+01     3.47115e+01
--         52         57     1.00000e+00     2.26302e+01     3.89757e+01
--         53         58     1.00000e+00     2.24723e+01     9.32972e+01
--         54         59     1.00000e+00     2.21596e+01     4.58232e+01
--         55         60     1.00000e+00     2.19094e+01     4.71987e+01
--         56         61     1.00000e+00     2.16434e+01     4.87305e+01
--         57         62     1.00000e+00     2.14352e+01     5.63469e+01
--         58         63     1.00000e+00     2.12346e+01     4.43327e+01
--         59         64     1.00000e+00     2.10641e+01     4.21372e+01
--         60         65     1.00000e+00     2.07380e+01     4.67189e+01
--         61         66     1.00000e+00     2.06025e+01     9.12258e+01
