--  Iteration   FunEvals     Step Length    Function Val        Opt Cond
--          1          3     5.41515e-01     2.53409e+00     1.63035e+01
--          2          4     1.00000e+00     1.65773e-01     3.30122e-01
--          3          5     1.00000e+00     1.62207e-01     2.55778e-01
--          4          6     1.00000e+00     1.55973e-01     1.01298e-01
--          5          7     1.00000e+00     1.54769e-01     5.67263e-02
--          6          8     1.00000e+00     1.54271e-01     3.35750e-02
--          7          9     1.00000e+00     1.53940e-01     3.07253e-02
--          8         10     1.00000e+00     1.53621e-01     3.48293e-02
--          9         11     1.00000e+00     1.53170e-01     5.24276e-02
--         10         14     5.23837e+00     1.50763e-01     1.45243e-01
--         11         16     5.62914e-01     1.48935e-01     2.34420e-01
--         12         17     1.00000e+00     1.45118e-01     1.68749e-01
--         13         18     1.00000e+00     1.41276e-01     1.42929e-01
--         14         19     1.00000e+00     1.38845e-01     1.13174e-01
--         15         20     1.00000e+00     1.37663e-01     7.52615e-02
--         16         21     1.00000e+00     1.37061e-01     5.98371e-02
--         17         22     1.00000e+00     1.35416e-01     5.27724e-02
--         18         23     1.00000e+00     1.31758e-01     8.22051e-02
--         19         25     3.99603e-01     1.28420e-01     1.71763e-01
--         20         26     1.00000e+00     1.24988e-01     1.25665e-01
--         21         27     1.00000e+00     1.22723e-01     8.76775e-02
--         22         28     1.00000e+00     1.21424e-01     6.78336e-02
--         23         29     1.00000e+00     1.20263e-01     7.44785e-02
--         24         30     1.00000e+00     1.18161e-01     7.20537e-02
--         25         31     1.00000e+00     1.16835e-01     6.15827e-02
--         26         32     1.00000e+00     1.15508e-01     5.39925e-02
--         27         33     1.00000e+00     1.14672e-01     7.23122e-02
--         28         34     1.00000e+00     1.14022e-01     3.89391e-02
--         29         35     1.00000e+00     1.13355e-01     3.88650e-02
--         30         36     1.00000e+00     1.11946e-01     8.07632e-02
--         31         37     1.00000e+00     1.10941e-01     6.89768e-02
--         32         38     1.00000e+00     1.08635e-01     8.28609e-02
--         33         39     1.00000e+00     1.07410e-01     8.20229e-02
--         34         40     1.00000e+00     1.05541e-01     7.45231e-02
--         35         41     1.00000e+00     1.04303e-01     6.60951e-02
--         36         43     4.52928e-01     1.03700e-01     6.60278e-02
--         37         44     1.00000e+00     1.02971e-01     4.65870e-02
--         38         45     1.00000e+00     1.02493e-01     3.33514e-02
--         39         46     1.00000e+00     1.02201e-01     3.12847e-02
--         40         47     1.00000e+00     1.01732e-01     3.32703e-02
--         41         48     1.00000e+00     1.01616e-01     4.01612e-02
--         42         49     1.00000e+00     1.01413e-01     2.14357e-02
--         43         50     1.00000e+00     1.01259e-01     1.84180e-02
--         44         51     1.00000e+00     1.01123e-01     1.91168e-02
--         45         52     1.00000e+00     1.00931e-01     1.88960e-02
--         46         53     1.00000e+00     1.00705e-01     2.31532e-02
--         47         54     1.00000e+00     1.00547e-01     1.69145e-02
--         48         55     1.00000e+00     1.00376e-01     1.68659e-02
--         49         56     1.00000e+00     1.00157e-01     2.02389e-02
--         50         57     1.00000e+00     9.97755e-02     2.41391e-02
--         51         58     1.00000e+00     9.93564e-02     5.18683e-02
--         52         59     1.00000e+00     9.87159e-02     4.31960e-02
--         53         60     1.00000e+00     9.73887e-02     5.84256e-02
--         54         62     3.78905e-01     9.66912e-02     5.87699e-02
--         55         63     1.00000e+00     9.57240e-02     4.71608e-02
--         56         64     1.00000e+00     9.47147e-02     4.12000e-02
--         57         65     1.00000e+00     9.42681e-02     2.96237e-02
--         58         66     1.00000e+00     9.39740e-02     1.98545e-02
--         59         67     1.00000e+00     9.37211e-02     2.44821e-02
--         60         68     1.00000e+00     9.33168e-02     3.70824e-02
--         61         69     1.00000e+00     9.25639e-02     5.55187e-02
--         62         70     1.00000e+00     9.19711e-02     5.13575e-02
--         63         71     1.00000e+00     9.11608e-02     3.62914e-02
--         64         72     1.00000e+00     9.05553e-02     3.26772e-02
--         65         73     1.00000e+00     9.03121e-02     2.93865e-02
--         66         74     1.00000e+00     9.00495e-02     2.90569e-02
--         67         75     1.00000e+00     8.98537e-02     1.86646e-02
--         68         76     1.00000e+00     8.96868e-02     2.05509e-02
--         69         77     1.00000e+00     8.95748e-02     1.79818e-02
--         70         78     1.00000e+00     8.94358e-02     1.19971e-02
--         71         79     1.00000e+00     8.93190e-02     1.54105e-02
--         72         80     1.00000e+00     8.92219e-02     1.76236e-02
--         73         81     1.00000e+00     8.90711e-02     1.78202e-02
--         74         82     1.00000e+00     8.88779e-02     1.66367e-02
--         75         83     1.00000e+00     8.87340e-02     1.56681e-02
--         76         84     1.00000e+00     8.86417e-02     1.30442e-02
--         77         85     1.00000e+00     8.85313e-02     1.19210e-02
--         78         86     1.00000e+00     8.84538e-02     1.02447e-02
--         79         87     1.00000e+00     8.83632e-02     1.18343e-02
--         80         88     1.00000e+00     8.82917e-02     1.38938e-02
--         81         89     1.00000e+00     8.81730e-02     1.54662e-02
--         82         90     1.00000e+00     8.79902e-02     1.80026e-02
--         83         91     1.00000e+00     8.75967e-02     3.93319e-02
--         84         92     1.00000e+00     8.72851e-02     5.00564e-02
--         85         93     1.00000e+00     8.68334e-02     3.92353e-02
--         86         94     1.00000e+00     8.65416e-02     5.02673e-02
--         87         95     1.00000e+00     8.61896e-02     3.31774e-02
--         88         96     1.00000e+00     8.58593e-02     3.05454e-02
--         89         97     1.00000e+00     8.55554e-02     2.19514e-02
--         90         98     1.00000e+00     8.52229e-02     2.55374e-02
--         91         99     1.00000e+00     8.49715e-02     2.07058e-02
--         92        100     1.00000e+00     8.47568e-02     1.40871e-02
--         93        101     1.00000e+00     8.46189e-02     1.42608e-02
--         94        102     1.00000e+00     8.45275e-02     1.30370e-02
